FIRSTNAME,LASTNAME,STATE,PA,CITY,ZIP
MOSES,PALACIOS,Indiana,IN,Evansville,47708
FRANCIS,HOBSON,Virginia,VA,Norfolk,23707
MITCH,READ,California,CA,LosAngeles,90052
MONTE,WINTER,Tennessee,TN,Nashville-Davidson6,37230
JULIA,RICKETTS,Connecticut,CT,NewHaven,6511
KIMBERLEY,GILLIS,NewJersey,NJ,JerseyCity,7302
RAY,ONEAL,Colorado,CO,FortCollins,80525
LOTTIE,LEAL,Texas,TX,Brownsville,78520
JULIAN,NORTH,Texas,TX,Carrollton,75006
PRESTON,ONEAL,Virginia,VA,VirginiaBeach,23450
FAUSTINO,BARTLEY,California,CA,HuntingtonBeach,92647
LEONEL,HAN,California,CA,Pasadena,91103
JESSICA,WILLIS,Florida,FL,Tampa,33630
TARYN,DYKES,Washington,WA,Tacoma,98413
VALENTINE,WALTON,Wisconsin,WI,Milwaukee,53203
IRVING,EMERSON,Oklahoma,OR,Portland,97208
TOBY,TRUJILLO,Nevada,NV,Henderson,89015
ADOLPH,WALTERS,Massachusetts,MA,Springfield,1101
CARROLL,HOFF,Connecticut,CT,Hartford,6101
HERMINIA,LINDLEY,Texas,TX,McAllen,78501
SON,EASLEY,Louisiana,LA,BatonRouge,70826
EDGAR,CURRAN,Texas,TX,Brownsville,78520
